Symbol,Token,,,,NIFTY 50,,,,,
JOCIL,16927,,,,,,,,,
JKLAKSHMI,13491,,,,,,,,,
JKCEMENT,13270,,,,,,,,,
JIWANRAM,18558,,,,,,,,,
JITFINFRA,19695,,,,,,,,,
JISLJALEQS,10397,,,,,,,,,
JISLDVREQS,25684,,,,,,,,,
JIOFIN,18143,,,,,,,,,
JKIL,15266,,,,,,,,,
JUSTDIAL,29962,,,,,,,,,
JPASSOCIAT,11460,,,,,,,,,
JPPOWER,11763,,,,,,,,,
JUBLPHARMA,3637,,,,,,,,,
JUBLINGREA,2783,,,,,,,,,
JUBLINDS,21541,,,,,,,,,
JUBLFOOD,18096,,,,,,,,,
JTLIND,7287,,,,,,,,,
JTEKTINDIA,3237,,,,,,,,,
JPOLYINVST,31507,,,,,,,,,
JSWINFRA,19020,,,,,,,,,
JSWHL,11880,,,,,,,,,
JSWENERGY,17869,,,,,,,,,
JSLL,9044,,,,,,,,,
JSL,11236,,,,,,,,,
JSFB,22663,,,,,,,,,
JSWSTEEL,11723,,,,,,,,,
KEC,13260,,,,,,,,,
KECL,18220,,,,,,,,,
KEEPLEARN,8880,,,,,,,,,
KRISHCA,16133,,,,,,,,,
KRISHANA,12847,,,,,,,,,
KRIDHANINF,11488,,,,,,,,,
KREBSBIO,1937,,,,,,,,,
KRBL,10577,,,,,,,,,
KPRMILL,14912,,,,,,,,,
KRISHIVAL,8671,,,,,,,,,
KPITTECH,9683,,,,,,,,,
KPIGREEN,5108,,,,,,,,,
KOTYARK,6441,,,,,,,,,
KOTHARIPRO,5528,,,,,,,,,
KOTHARIPET,4594,,,,,,,,,
KOTARISUG,11647,,,,,,,,,
KOTAKBANK,1922,,,,,,,,,
KPIL,1814,,,,,,,,,
KORE,10889,,,,,,,,,
KRISHNADEF,8782,,,,,,,,,
KRITIKA,9296,,,,,,,,,
LAL,14924,,,,,,,,,
LAKPRE,4774,,,,,,,,,
LAGNAM,5867,,,,,,,,,
KUANTUM,13870,,,,,,,,,
KTL,22781,,,,,,,,,
KTKBANK,8054,,,,,,,,,
KRITI,6417,,,,,,,,,
KSOLVES,11060,,,,,,,,,
KSHITIJPOL,10412,,,,,,,,,
KSCL,14972,,,,,,,,,
KSB,1949,,,,,,,,,
KRYSTAL,23175,,,,,,,,,
KRSNAA,5359,,,,,,,,,
KRITINUT,11432,,,,,,,,,
KSL,18889,,,,,,,,,
KOPRAN,1919,,,,,,,,,
KONTOR,19287,,,,,,,,,
KONSTELEC,22472,,,,,,,,,
KILITCH,19937,,,,,,,,,
KICL,21119,,,,,,,,,
KHFM,9570,,,,,,,,,
KHANDSE,9641,,,,,,,,,
KHAITANLTD,3912,,,,,,,,,
KHAICHEM,896,,,,,,,,,
KIMS,4847,,,,,,,,,
KHADIM,425,,,,,,,,,
KEYFINSERV,9505,,,,,,,,,
KESORAMIND,1859,,,,,,,,,
KERNEX,13121,,,,,,,,,
KELLTONTEC,13430,,,,,,,,,
KEL,18708,,,,,,,,,
KEI,13310,,,,,,,,,
KFINTECH,13359,,,,,,,,,
KINGFA,18944,,,,,,,,,
KIOCL,19126,,,,,,,,,
KIRIINDUS,16639,,,,,,,,,
KOLTEPATIL,15124,,,,,,,,,
KOKUYOCMLN,16827,,,,,,,,,
KOHINOOR,3009,,,,,,,,,
KODYTECH,18751,,,,,,,,,
KNRCON,15283,,,,,,,,,
KNAGRI,8602,,,,,,,,,
KMSUGAR,14667,,,,,,,,,
KLL,21186,,,,,,,,,
KKVAPOW,17781,,,,,,,,,
KKCL,13381,,,,,,,,,
KITEX,28899,,,,,,,,,
KIRLPNU,15180,,,,,,,,,
KIRLOSIND,19025,,,,,,,,,
KIRLOSENG,20936,,,,,,,,,
KIRLOSBROS,18581,,,,,,,,,
JINDWORLD,20642,,,,,,,,,
JINDRILL,13875,,,,,,,,,
JINDALSTEL,6733,,,,,,,,,
JINDALSAW,3024,,,,,,,,,
INDINFR,2892,,,,,,,,,
INDIGRID,20988,,,,,,,,,
INDIGOPNTS,2048,,,,,,,,,
INDIGO,11195,,,,,,,,,
INDIFRA,21058,,,,,,,,,
INDIASHLTR,20556,,,,,,,,,
INDNIPPON,4747,,,,,,,,,
INDIANHUME,1530,,,,,,,,,
INDIANB,14309,,,,,,,,,
INDIAMART,10726,,,,,,,,,
INDIAGLYCO,1521,,,,,,,,,
INDIACEM,1515,,,,,,,,,
INDHOTEL,1512,,,,,,,,,
INDIANCARD,4422,,,,,,,,,
INDGN,23693,,,,,,,,,
INDOAMIN,9116,,,,,,,,,
INDOCO,11677,,,,,,,,,
INFOBEAN,11027,,,,,,,,,
INFINIUM,15036,,,,,,,,,
INFIBEAM,16249,,,,,,,,,
INDUSTOWER,29135,,,,,,,,,
INDUSINDBK,5258,,,,,,,,,
INDTERRAIN,21957,,,,,,,,,
INDOBORAX,8614,,,,,,,,,
INDSWFTLTD,11605,,,,,,,,,
INDRAMEDCO,4751,,,,,,,,,
INDOWIND,14952,,,,,,,,,
INDOTHAI,25608,,,,,,,,,
INDOTECH,13278,,,,,,,,,
INDOSTAR,3088,,,,,,,,,
INDORAMA,10993,,,,,,,,,
INDSWFTLAB,4870,,,,,,,,,
INDBANK,16933,,,,,,,,,
INCREDIBLE,17507,,,,,,,,,
IMPEXFERRO,11684,,,,,,,,,
IDFCFIRSTB,11184,,,,,,,,,
IDFC,11957,,,,,,,,,
IDEAFORGE,17140,,,,,,,,,
IDEA,14366,,,,,,,,,
IDBI,1476,,,,,,,,,
ICRA,14523,,,,,,,,,
IEL,13303,,,,,,,,,
ICIL,11987,,,,,,,,,
ICICIGI,21770,,,,,,,,,
ICICIBANK,4963,,,,,,,,,
ICEMAKE,489,,,,,,,,,
ICDSLTD,9610,,,,,,,,,
IBULPP,22774,,,,,,,,,
IBULHSGFIN,30125,,,,,,,,,
ICICIPRULI,18652,,,,,,,,,
IEML,23792,,,,,,,,,
IEX,220,,,,,,,,,
IFBAGRO,1482,,,,,,,,,
IMPAL,12009,,,,,,,,,
IMFA,19235,,,,,,,,,
IMAGICAA,7672,,,,,,,,,
IL&FSTRANS,9381,,,,,,,,,
IL&FSENGG,9380,,,,,,,,,
IKIO,16822,,,,,,,,,
IITL,19525,,,,,,,,,
IIFLSEC,13072,,,,,,,,,
IIFL,11809,,,,,,,,,
IGPL,14086,,,,,,,,,
IGL,11262,,,,,,,,,
IGARASHI,634,,,,,,,,,
IFGLEXPOR,436,,,,,,,,,
IFCI,1491,,,,,,,,,
IFBIND,1485,,,,,,,,,
INFOLLION,16588,,,,,,,,,
